584                     N5
2031 -0.914792 -1.8868
2018 -7.9307 -3.02628
2122 3.23103 -3.21317
2085 -2.16376 -4.42677
2112 6.46448 -4.42312
2104 -6.39597 -4.79359
2095 1.83042 -5.65184
2016 5.41703 -6.05251
2080 -4.41717 -6.23251
2105 -9.7135 -6.62093
2119 7.69184 -6.82111
2005 4.77347 -7.40895
-99
564
2110 -4.40741 7.48539
2087 -6.36092 7.29944
2116 -1.21078 7.08643
2020 8.08608 6.26655
2029 2.66279 5.29574
2102 -0.00780173 4.8123
2080 6.81469 4.38706
2005 -3.65299 3.92191
2104 9.4716 3.1858
2095 -0.0990388 2.9179
2119 -6.71668 2.93536
2016 -4.15292 2.84154
2085 4.65436 2.1559
2018 11.4089 1.16044
2112 -5.43611 0.627688
2122 -1.48913 0.0116551
2117 9.28885 -0.883105
2031 3.32703 -1.22619
2023 8.25119 -1.80506
2090 0.614845 -1.85178
2026 -1.75549 -2.33987
2089 -5.50308 -2.50629
2027 6.40717 -4.47691
2024 2.25309 -5.30526
2002 -6.49323 -5.68206
2100 4.28558 -5.97069
2008 -0.899711 -6.68175
-99
578
2020 -4.49718 5.94015
2082 4.98668 5.32229
2108 11.3605 4.22097
2120 2.03974 3.79971
2059 -4.84587 2.76604
2088 -0.791543 1.95224
2010 7.49912 0.802849
2093 -6.00809 -0.503384
2001 1.90224 -1.33205
2069 -2.69142 -1.6373
2099 -10.704 -1.83569
2077 8.28644 -3.84338
2067 -0.790529 -5.43171
-99
559
S2102 -11.1484 7.48669
2007 6.59562 7.44378
2117 1.28013 6.82116
S2015 8.47188 5.73264
2023 0.777746 5.40709
2031 -4.42759 3.28278
2027 0.36807 1.83159
2090 -6.86897 1.12134
S2026 -9.43375 -0.638416
2100 -0.935096 -0.856668
2024 -3.35126 -1.38234
S2014 -2.71818 -4.57457
2008 -5.8593 -4.67215
-99
556
2090 5.24938 6.50979
2095 0.706206 6.08686
S2008 10.983 5.73963
2082 -7.22042 5.17629
2122 4.49784 5.00971
2102 -2.4908 4.59743
2026 6.51408 4.22817
2116 -5.18876 2.68096
2016 1.57393 1.17813
2005 -0.758552 0.404338
2089 7.25044 -0.380692
2108 -9.02034 -0.431348
2002 11.0954 -0.840544
2112 3.59218 -1.02112
2110 -5.20867 -1.40542
2119 1.02146 -3.19022
2087 -4.63277 -3.86205
2123 -7.29349 -4.28835
2021 -6.74232 -7.40852
-99
574
2023 -9.83792 6.14419
2026 1.23934 5.72101
2117 -11.2967 5.33751
2090 -1.34595 5.23451
2089 5.10432 5.16871
2031 -4.3726 4.91855
2122 0.910038 4.21232
2085 -6.41194 2.51701
2112 5.03409 1.92986
2095 -0.911026 1.10301
2016 3.77308 0.722438
2080 -9.56655 0.0391714
2119 6.45042 -0.811179
2005 3.00496 -1.64675
2102 -1.3272 -2.36545
2029 -4.62653 -2.70093
2116 -0.092251 -5.45873
2087 6.11799 -6.20985
2110 3.78021 -6.29066
2082 -3.11752 -7.04517
-99
600
2095 -1.71299 6.07128
2090 -8.78702 5.38401
2116 8.49604 3.10845
2102 3.32037 2.44948
2082 9.92274 -2.08635
2029 2.59136 -2.82395
S2085 -7.0506 -3.11812
-99
557
2007 1.70343 7.38487
2105 -6.49361 5.79291
2125 3.58028 5.37458
2018 -1.99499 4.99865
2033 -7.72552 3.91155
2117 0.295643 3.11581
2066 -8.9734 3.08545
2104 -3.89537 2.77324
2023 1.37172 2.13878
2020 -7.48408 1.59902
2027 4.42607 0.37949
2080 -5.20408 -0.107271
2100 6.3451 -1.76953
2085 -2.46341 -2.47721
2031 1.3077 -3.22385
2120 -11.02 -3.72546
2024 6.00257 -4.10143
2029 -6.37575 -4.50716
2090 2.36669 -6.39754
2082 -10.5067 -6.88508
-99
558
2080 -10.6945 5.47304
2117 -1.9333 5.13706
2023 -1.50452 3.49809
2085 -9.55019 1.43432
2027 0.403901 -0.153581
2031 -5.10284 -1.79858
2100 0.904406 -3.52645
2090 -6.08366 -5.48767
2024 -1.03447 -5.58676
-99
554
2120 -1.67737 6.57655
2077 -9.93426 6.48103
2031 9.55524 5.84897
2029 2.54695 5.48484
2082 -1.13262 3.96652
2095 6.96989 3.30985
2010 -5.42339 3.20084
2090 10.3443 3.12854
2102 3.09189 2.66582
2122 10.2791 1.77007
2116 0.358287 1.39408
2079 -9.2061 0.992575
2103 -7.05219 -0.376381
2108 -3.70762 -0.818488
2016 7.20427 -1.20341
